# Sorted by appearances in unique dailies
# First section: still direct winrate
# Second section: win multiplier (wins per unique appearance) [line #392]

Banana MilkShake/steam's winrate: 0.0% (0 wins/6 games, 1 appearances)
Amammomc/steam's winrate: 0.0% (0 wins/6 games, 1 appearances)
Jesus is LORD/steam's winrate: 80.0% (4 wins/5 games, 1 appearances)
Madjar/steam's winrate: 40.0% (2 wins/5 games, 1 appearances)
tubby's winrate: 20.0% (1 wins/5 games, 1 appearances)
mederick.tanquerel/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
Tyrannosaurus Flex/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
No Socks On/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
Mewtwomew/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
Low Priority God/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
Happy Little Tree/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
Flatulence Noble/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
Fastidiously Accoutered Dandy/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
ButcherXP/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
AuntGary/steam's winrate: 20.0% (1 wins/5 games, 1 appearances)
贴边那种/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
æŒ‰ä½Eå˜²è®½é­”ç”·å¹¶æ‘”è·¤/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
thenecity's winrate: 0.0% (0 wins/5 games, 1 appearances)
termich1601/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
martinamadarasova9/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
lory55\_2/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
beederules/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Utterly/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Tall Chris/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Sheshyr/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Phatpiggy12/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Onewithbow/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
MyToesRCold/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Lekar22/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Inutheal/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Gennaro Emeritus/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
DalekLIVE/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
Activecirclev2/steam's winrate: 0.0% (0 wins/5 games, 1 appearances)
â˜…Sporegoâœ®/steam's winrate: 25.0% (1 wins/4 games, 1 appearances)
â˜…SholtSucksPVPâ˜…/steam's winrate: 25.0% (1 wins/4 games, 1 appearances)
DeathBaron666/steam's winrate: 25.0% (1 wins/4 games, 1 appearances)
BurnedCassin/steam's winrate: 25.0% (1 wins/4 games, 1 appearances)
AcE.-/steam's winrate: 25.0% (1 wins/4 games, 1 appearances)
♔Norrlands Guld♔/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
schwiiingcf's winrate: 0.0% (0 wins/4 games, 1 appearances)
musebc's winrate: 0.0% (0 wins/4 games, 1 appearances)
kingofgamers700/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
kelseydakilla/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
dremora's winrate: 0.0% (0 wins/4 games, 1 appearances)
dr. jkl;/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
alrightkatie/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
ZzTozeur/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
Star\_Peace/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
NillyHD/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
